trade_date,close,open,high,low,vol
20201214,4934.8352,4903.627,4937.2601,4887.6599,120801552
20201211,4889.6292,4957.8236,4957.8236,4849.3547,159357697
20201210,4940.5249,4931.2933,4962.7433,4919.7696,125914270
20201209,4942.6986,5022.3846,5033.6417,4942.5195,138916965
20201208,5009.8786,5029.1063,5043.0605,4998.9218,123073029
20201207,5022.2351,5065.7285,5067.8698,5014.609,139896217
20201204,5065.9163,5049.5231,5072.3865,5017.8506,144347167
20201203,5057.0603,5065.4531,5072.3046,5033.7887,177865748
20201202,5067.1447,5072.9755,5090.6084,5043.3091,195435476
20201201,5067.0983,4963.1302,5072.5494,4963.1302,204065638
20201130,4960.2519,4994.1063,5055.192,4960.2519,262638950
20201127,4980.765,4930.5928,4980.765,4917.3479,162952922
20201126,4919.5912,4908.3208,4925.2857,4867.8153,137202338
20201125,4910.7,4992.7466,5004.7732,4910.7,170340527
20201124,4974.2855,4997.0485,5001.0614,4960.9817,156637911
20201123,5005.0273,4954.5987,5029.6515,4940.4494,205915187
20201120,4943.2882,4928.2223,4947.4297,4922.5895,129400341
20201119,4927.9891,4880.9224,4939.7911,4870.2005,133681378
20201118,4891.6716,4889.6749,4911.0876,4870.7162,164216616
20201117,4894.786,4903.12,4909.2902,4865.3942,151487464
20201116,4904.1716,4880.958,4904.1716,4848.6239,148770980
20201113,4856.8513,4886.9778,4886.9778,4825.7578,133693079
